symbol,name,market,asset_type,price,avg_turnover_20d,kospi200
042700,한미반도체,KOSPI,STOCK,308500.0,595782655292.5,Y
012450,한화에어로스페이스,KOSPI,STOCK,1479000.0,586172649145.45,Y
079550,LIG넥스원,KOSPI,STOCK,715000.0,417038624375.0,Y
064350,현대로템,KOSPI,STOCK,196900.0,249627045821.2,Y
329180,HD현대중공업,KOSPI,STOCK,592000.0,163829094150.0,Y
068270,셀트리온,KOSPI,STOCK,204500.0,163578942432.3,Y
088350,한화생명,KOSPI,STOCK,4740.0,153649753004.25,Y
298040,효성중공업,KOSPI,STOCK,2589000.0,130653537450.0,Y
034730,SK,KOSPI,STOCK,329000.0,125806363370.2,Y
009540,HD한국조선해양,KOSPI,STOCK,414500.0,125601079562.5,Y
307950,현대오토에버,KOSPI,STOCK,414500.0,115818736175.0,Y
032830,삼성생명,KOSPI,STOCK,215750.0,112122700154.2,Y
207940,삼성바이오로직스,KOSPI,STOCK,1596000.0,92995503005.9,Y
010130,고려아연,KOSPI,STOCK,1631000.0,72531082600.0,Y
139480,이마트,KOSPI,STOCK,93700.0,60523410902.5,Y
457190,이수스페셜티케미컬,KOSPI,STOCK,93000.0,51978921837.5,Y
003550,LG,KOSPI,STOCK,89900.0,46892635863.5,Y
002380,KCC,KOSPI,STOCK,510000.0,26124189475.0,Y
071970,HD현대마린엔진,KOSPI,STOCK,80800.0,19474307535.0,Y
000120,CJ대한통운,KOSPI,STOCK,111600.0,18983911072.5,Y
100840,SNT에너지,KOSPI,STOCK,45250.0,12534339650.0,Y
111770,영원무역,KOSPI,STOCK,90200.0,12277135437.5,Y
282330,BGF리테일,KOSPI,STOCK,117700.0,9858656518.1,Y
004000,롯데정밀화학,KOSPI,STOCK,51300.0,5599444302.5,Y
